Date,Not indexed,Indexed,Impressions
2025-10-08,,,0
2025-10-09,,,0
2025-10-10,,,1
2025-10-11,43,8,0
2025-10-12,43,8,0
2025-10-13,43,8,0
2025-10-14,43,8,0
2025-10-15,43,8,0
2025-10-16,43,8,0
2025-10-17,43,8,0
2025-10-18,43,8,0
2025-10-19,43,8,0
2025-10-20,43,8,0
2025-10-21,43,8,0
2025-10-22,43,8,0
2025-10-23,43,8,1
2025-10-24,43,8,1
2025-10-25,43,8,0
2025-10-26,43,8,0
2025-10-27,43,8,0
2025-10-28,43,8,1
2025-10-29,45,6,0
2025-10-30,45,6,0
2025-10-31,45,6,1
2025-11-01,45,6,0
2025-11-02,43,6,0
2025-11-03,43,6,0
2025-11-04,43,6,0
2025-11-05,43,6,0
2025-11-06,43,6,0
2025-11-07,43,6,0
2025-11-08,43,6,0
2025-11-09,42,6,0
2025-11-10,42,6,0
2025-11-11,42,6,0
2025-11-12,44,4,0
2025-11-13,44,4,0
2025-11-14,44,4,1
2025-11-15,44,4,0
2025-11-16,41,4,0
2025-11-17,41,4,0
2025-11-18,41,4,0
2025-11-19,38,5,0
2025-11-20,38,5,0
2025-11-21,38,5,0
2025-11-22,38,5,0
2025-11-23,34,6,0
2025-11-24,34,6,0
2025-11-25,34,6,0
2025-11-26,34,6,0
2025-11-27,34,6,0
2025-11-28,34,6,1
2025-11-29,34,6,0
2025-11-30,34,6,0
2025-12-01,34,6,0
2025-12-02,34,6,0
2025-12-03,34,6,0
2025-12-04,34,6,1
2025-12-05,34,6,0
2025-12-06,34,6,0
2025-12-07,34,6,0
2025-12-08,34,6,0
2025-12-09,34,6,0
2025-12-10,34,6,0
2025-12-11,34,6,0
2025-12-12,34,6,0
2025-12-13,34,6,0
2025-12-14,34,6,0
2025-12-15,34,6,0
2025-12-16,32,6,0
2025-12-17,32,6,0
2025-12-18,32,6,0
2025-12-19,32,6,0
2025-12-20,32,6,0
2025-12-21,32,6,0
2025-12-22,32,6,0
2025-12-23,32,6,0
2025-12-24,35,4,0
2025-12-25,35,4,0
2025-12-26,35,4,0
2025-12-27,35,4,0
2025-12-28,35,4,2
2025-12-29,35,4,0
2025-12-30,35,4,0
2025-12-31,35,4,8
2026-01-01,35,4,7
2026-01-02,35,4,8
2026-01-03,35,4,5